questionnaire,question_id,question_text,answer
personality_pre,56,Shows a lot of enthusiasm,5
personality_pre,57,Assumes the best about people,4
personality_pre,58,Sometimes behaves irresponsibly,2
personality_pre,59,"Is temperamental, gets emotional easily",3
personality_pre,60,"Is original, comes up with new ideas",2
partner_traits,extraversion,,0.73
partner_traits,neuroticism,,0.18
partner_traits,openness,,0.69
partner_traits,agreeableness,,0.69
partner_traits,conscientiousness,,0.7
personality_after,1,"Is outgoing, sociable",5
personality_after,2,"Is compassionate, has a soft heart",5
personality_after,3,Tends to be disorganized,3
personality_after,4,"Is relaxed, handles stress well",4
personality_after,5,Has few artistic interests,2
personality_after,6,Has an assertive personality,2
personality_after,7,"Is respectful, treats others with respect",5
personality_after,8,Tends to be lazy,3
personality_after,9,Stays optimistic after experiencing a setback,4
personality_after,10,Is curious about many different things,2
personality_after,11,Rarely feels excited or eager,2
personality_after,12,Tends to find fault with others,3
personality_after,13,"Is dependable, steady",4
personality_after,14,"Is moody, has up and down mood swings",4
personality_after,15,"Is inventive, finds clever ways to do things",2
personality_after,16,Tends to be quiet,2
personality_after,17,Feels little sympathy for others,1
personality_after,18,"Is systematic, likes to keep things in order",3
personality_after,19,Can be tense,5
personality_after,20,"Is fascinated by art, music, or literature",1
personality_after,21,"Is dominant, acts as a leader",5
personality_after,22,Starts arguments with others,1
personality_after,23,Has difficulty getting started on tasks,2
personality_after,24,"Feels secure, comfortable with self",4
personality_after,25,"Avoids intellectual, philosophical discussions",5
personality_after,26,Is less active than other people,1
personality_after,27,Has a forgiving nature,3
personality_after,28,Can be somewhat careless,2
personality_after,29,"Is emotionally stable, not easily upset",3
personality_after,30,Has little creativity,4
personality_after,31,"Is sometimes shy, introverted",2
personality_after,32,Is helpful and unselfish with others,5
personality_after,33,Keeps things neat and tidy,3
personality_after,34,Worries a lot,5
personality_after,35,Values art and beauty,2
personality_after,36,Finds it hard to influence people,2
personality_after,37,Is sometimes rude to others,2
personality_after,38,"Is efficient, gets things done",5
personality_after,39,Often feels sad,3
personality_after,40,"Is complex, a deep thinker",1
personality_after,41,Is full of energy,5
personality_after,42,Is suspicious of others’ intentions,3
personality_after,43,"Is reliable, can always be counted on",5
personality_after,44,Keeps their emotions under control,3
personality_after,45,Has difficulty imagining things,5
personality_after,46,Is talkative,4
personality_after,47,Can be cold and uncaring,1
personality_after,48,"Leaves a mess, doesn’t clean up",3
personality_after,49,Rarely feels anxious or afraid,2
personality_after,50,Thinks poetry and plays are boring,1
personality_after,51,Prefers to have others take charge,1
personality_after,52,"Is polite, courteous to others",5
personality_after,53,"Is persistent, works until the task is finished",4
personality_after,54,"Tends to feel depressed, blue",3
personality_after,55,Has little interest in abstract ideas,5
personality_after,56,Shows a lot of enthusiasm,5
personality_after,57,Assumes the best about people,3
personality_after,58,Sometimes behaves irresponsibly,2
personality_after,59,"Is temperamental, gets emotional easily",3
personality_after,60,"Is original, comes up with new ideas",2
strategy,self,,"I tried to find the static element first, to eliminate it - and then find the moving ones. Since the shadow followed/behaved like the person, I did not have a strategy for differientiating between them."
strategy,other,,"When partner believed they found me, they moved back and forth, which invited me to do the same. "
strategy,comment,,"The personality questions should not be in the negative (e.g., I`m *not* like x) becuase it`s confusing to answer - unless that`s on purpose. I didn`t understand the question about the partner being missing."
